"DateTime           "From                                 "Value_IN(BNB)

,22:58:15","0x779e3194a8f5daf82fbd409ef9f7a698a1b0dc8d",","","0","0","0",
23:03:00","0x1813a51b65f776882acb9e5e9f578cc387a71ede",","","0","0","0",
23:38:36","0x8cfdfe5bde20f96bc7b985d0364df0a7b00e9690",","","0","0","0",
 23:44:30","0xb0e2d63ba59a842397d812a7f51a9ff994c46abc",","","0.16"
 00:02:42","0x4686a9be86976dd8cd6390cad4c6eda57c72e2e0",","","0","0","0","
 00:11:48","0x8cfdfe5bde20f96bc7b985d0364df0a7b00e9690",","","0","0","0",
 01:38:06","0x51999d589fdf9b104f28c692cb091595f16bf117",","","0","0","0","
 03:30:34","0xa577d5390704b8fda6d6f4d53e93ddca2a73fdda",","","0.0325",
" 18:57:44","0xaa7616d5c6808c984cb21b26fda6487448677cb7",","","0.113","0",
" 19:35:29","0xb13a5701f81bb8509b07c96024d695735a4b30d7",","","0.177","0",
" 19:36:59","0xb13a5701f81bb8509b07c96024d695735a4b30d7",","","0.181","0",
 20:59:55","0xa02e69510f320ddd462e2ff1c7ab6e9e05f852db",","","0","0","0",

03:32:28","0xdfe9c1b22c673c81735e7e7bf9f042a68ba73469",","","0.1","0","
03:34:10","0x9c1d5a412817af3e2c1260ec499662a27fc6ca1f",","","0.2","0","
03:35:04","0x0e9e607ee1851ad00242ea2ad6af7c15587073df",","","0.23","0",


,03:40:51","0x0e9e607ee1851ad00242ea2ad6af7c15587073df",","","0.19","0",
03:42:24","0xdfe9c1b22c673c81735e7e7bf9f042a68ba73469",","","0.15","0",



03:56:15","0x9c1d5a412817af3e2c1260ec499662a27fc6ca1f",","","0.18","0","
03:58:03","0xdfe9c1b22c673c81735e7e7bf9f042a68ba73469",","","0.1","0","
04:01:39","0x9c1d5a412817af3e2c1260ec499662a27fc6ca1f",","","0.1","0","


04:15:06","0xdfe9c1b22c673c81735e7e7bf9f042a68ba73469",","","0.1","0","
,04:20:15","0x0e9e607ee1851ad00242ea2ad6af7c15587073df",","","0.1","0","
04:34:30","0xdfe9c1b22c673c81735e7e7bf9f042a68ba73469",","","0.1","0","

,05:11:33","0x9c1d5a412817af3e2c1260ec499662a27fc6ca1f",","","0.1578","0"
05:22:36","0x0e9e607ee1851ad00242ea2ad6af7c15587073df",","","0.132","0",
05:32:51","0xdfe9c1b22c673c81735e7e7bf9f042a68ba73469",","","0.19","0","
05:38:42","0x9c1d5a412817af3e2c1260ec499662a27fc6ca1f",","","0.14","0","
"05:49:18","0x0e9e607ee1851ad00242ea2ad6af7c15587073df",","","0.123","0",

06:02:09","0xdfe9c1b22c673c81735e7e7bf9f042a68ba73469",","","0.1","0","

06:13:39","0x9c1d5a412817af3e2c1260ec499662a27fc6ca1f",","","0.12","0",
06:18:45","0x0e9e607ee1851ad00242ea2ad6af7c15587073df",","","0.19","0","
06:23:03","0xdfe9c1b22c673c81735e7e7bf9f042a68ba73469",","","0.11","0","

06:43:27","0x0e9e607ee1851ad00242ea2ad6af7c15587073df",","","0.113","0",
06:48:15","0xdfe9c1b22c673c81735e7e7bf9f042a68ba73469",","","0.14","0","

07:16:43","0x9c1d5a412817af3e2c1260ec499662a27fc6ca1f",","","0.11","0","

07:39:58","0x892f2a950464da09d7a993689e6e24ee954a049d",","","0.09","0",
09:31:09","0x280ccd04654fbef05ff35faf0c76a656c5c56cd8",","","0.043","0",
10:48:09","0x13991b6414d89ee90cfc90d836d1ff54af78553c",","","0.13","0",
13:21:59","0xaa7616d5c6808c984cb21b26fda6487448677cb7",","","0.352","0",

16:05:15","0x9c1d5a412817af3e2c1260ec499662a27fc6ca1f",","","0.07","0",

16:06:30","0xdfe9c1b22c673c81735e7e7bf9f042a68ba73469",","","0.1","0","

16:08:12","0x0e9e607ee1851ad00242ea2ad6af7c15587073df",","","0.1","0","
16:08:57","0x9c1d5a412817af3e2c1260ec499662a27fc6ca1f",","","0.12","0",

18:09:35","0xdfe9c1b22c673c81735e7e7bf9f042a68ba73469",","","0.1","0","
18:10:20","0x9c1d5a412817af3e2c1260ec499662a27fc6ca1f",","","0.11","0","
18:15:32","0x0e9e607ee1851ad00242ea2ad6af7c15587073df",","","0.13","0",


 21:59:33","0x0e9e607ee1851ad00242ea2ad6af7c15587073df",","","0.05","0",
22:00:09","0xdfe9c1b22c673c81735e7e7bf9f042a68ba73469",","","0.06","0",
22:00:49","0x9c1d5a412817af3e2c1260ec499662a27fc6ca1f",","","0.06","0",


 03:11:45","0xd5aae587a33c7d809edbeae8f22b5e2ad5014a10",","","0","0","0","
 03:13:39","0xd5aae587a33c7d809edbeae8f22b5e2ad5014a10",","","0","0","0",
 08:09:25","0x3fe6998426c1cc9e3dc04688d749c3665e813e62",","","0","0","0",

 15:30:24","0xfd7019d3aab87990a02ab1384e2a062b57b5661f",","","0.5","0",
 18:41:25","0x892f2a950464da09d7a993689e6e24ee954a049d",","","0.29","0",
 23:44:20","0x113d383ebd647683ade716400d672ea6b8112320",","","0.24","0",

 09:44:37","0x6612bddd5a81c080d57ee494ccd69b4dcc45a292",","","0","0","0",
 12:25:02","0x6ee2a9100f62e2fda999e0ba6c0dee2d17a44fca",","","0.0651","0"
 16:39:15","0xd81254b07df841b36d86b90f14975d6d83b51b2d",","","1.55","0",
 16:45:57","0xaa7616d5c6808c984cb21b26fda6487448677cb7",","","0.15","0",

 19:38:25","0x18b2e4c2423442038af41a93b01d2c70083036ee",","","0","0","0",
 19:45:00","0x71c4aa9f4af4b09712d2b79ae20afd3885e4a12c",","","0","0","0",
 20:51:57","0x5300fa8c295aa869a49f384416d836c8fb53dd4c",","","0","0","0"
 20:56:12","0x6b7dc75d24c6feb16ffcbde87fcc28a8455adb3c",","","0.035","0"
 21:33:48","0x892f2a950464da09d7a993689e6e24ee954a049d",","","0.32","0",
 23:23:35","0x8cfdfe5bde20f96bc7b985d0364df0a7b00e9690",","","0","0","0",

